emp_no,first_name,last_name,birth_date,from_date,to_date,title
10005,Kyoichi,Maliniak,1955-01-21,1989-09-12,9999-01-01,Senior Staff
10070,Reuven,Garigliano,1955-08-20,1995-10-18,9999-01-01,Technique Leader
10074,Mokhtar,Bernatsky,1955-08-28,1990-08-13,9999-01-01,Technique Leader
10091,Amabile,Gomatam,1955-10-04,1992-11-18,9999-01-01,Senior Engineer
10129,Armond,Peir,1955-12-02,1996-01-16,9999-01-01,Technique Leader
10130,Nishit,Casperson,1955-04-27,1988-06-21,9999-01-01,Senior Engineer
10138,Perry,Shimshoni,1955-04-24,1992-03-03,9999-01-01,Senior Engineer
10150,Zhenbing,Perng,1955-01-29,1986-11-16,9999-01-01,Engineer
10153,Heekeun,Majewski,1955-12-15,2000-01-08,9999-01-01,Assistant Engineer
10159,Serif,Buescher,1955-03-03,1996-06-12,9999-01-01,Senior Engineer
10203,Steen,Escriba,1955-07-27,1989-04-06,9999-01-01,Senior Staff
10207,Girolamo,Anandan,1955-05-28,1992-10-11,9999-01-01,Engineer
10230,Clyde,Vernadat,1955-09-11,1996-06-16,9999-01-01,Senior Staff
10239,Nikolaos,Llado,1955-03-31,1996-05-04,9999-01-01,Staff
10248,Frederique,Tempesti,1955-09-24,1991-08-13,9999-01-01,Senior Staff
10258,Basil,Ishibashi,1955-12-12,1985-05-17,9999-01-01,Engineer
10262,Mahendra,Maraist,1955-08-04,1996-01-22,9999-01-01,Staff
10307,Nikolaos,Leaver,1955-07-20,2000-01-21,9999-01-01,Engineer
10328,Serenella,Kawashima,1955-06-28,1998-07-17,9999-01-01,Engineer
10367,Hyuckchul,Gini,1955-12-24,1991-06-24,9999-01-01,Staff
10396,Sibyl,Rahier,1955-08-21,1986-01-11,9999-01-01,Senior Engineer
10397,Irena,Reutenauer,1955-11-11,1993-05-21,9999-01-01,Technique Leader
10404,Prodip,Rosti,1955-04-27,1988-08-28,9999-01-01,Engineer
10407,Ulf,Siepmann,1955-07-05,1999-10-30,9999-01-01,Senior Staff
10426,Arunas,Luce,1955-12-28,1985-07-06,9999-01-01,Technique Leader
10512,Udi,Gihr,1955-11-16,1989-11-28,9999-01-01,Staff
10522,Marke,Cesareni,1955-07-24,1986-12-12,9999-01-01,Staff
10542,Yannis,Couchot,1955-01-05,1992-02-07,9999-01-01,Senior Engineer
10564,Jianhao,Thisen,1955-04-14,1995-11-23,9999-01-01,Engineer
10603,Wayne,Restivo,1955-08-02,1995-07-20,9999-01-01,Staff
10610,Irena,Roccetti,1955-06-24,1997-03-30,9999-01-01,Engineer
10615,Keung,Delgrande,1955-08-30,1996-03-10,9999-01-01,Senior Staff
10624,Sham,Gyorkos,1955-12-19,1990-05-07,9999-01-01,Technique Leader
10631,Inderjeet,Chaudhuri,1955-05-17,1994-10-18,9999-01-01,Engineer
10636,Saeko,Porotnikoff,1955-08-25,1996-09-25,9999-01-01,Staff
10642,Hirochika,Narlikar,1955-12-19,1998-10-05,9999-01-01,Engineer
10667,Makato,Cusworth,1955-08-05,1999-07-28,9999-01-01,Senior Staff
10718,Adib,Rullman,1955-12-19,1988-07-21,9999-01-01,Senior Engineer
10742,Shim,Wiegley,1955-03-13,1997-04-03,9999-01-01,Technique Leader
10749,King,Brendel,1955-08-21,1985-09-26,9999-01-01,Engineer
10768,Ishfaq,Candan,1955-06-24,1985-07-04,9999-01-01,Senior Engineer
10808,Chenxi,Leijenhorst,1955-09-11,1987-03-07,9999-01-01,Senior Engineer
10900,Ferdinand,Prenel,1955-07-18,1995-09-07,9999-01-01,Senior Engineer
10920,Ronghao,Narahara,1955-04-08,1992-02-24,9999-01-01,Staff
10921,Mara,Bahi,1955-07-20,1986-07-27,9999-01-01,Senior Engineer
10932,Avishai,Picci,1955-11-19,1994-09-09,9999-01-01,Engineer
10943,Berna,Skafidas,1955-11-19,1993-05-22,9999-01-01,Engineer
10956,Arno,Picel,1955-02-02,1997-02-10,9999-01-01,Engineer
10965,Eckart,Braunschweig,1955-07-10,1986-07-29,9999-01-01,Senior Staff
10988,Chinya,Deyuan,1955-06-24,1985-06-19,9999-01-01,Senior Engineer
10996,Matk,Rahimi,1955-02-01,1990-02-07,9999-01-01,Staff
11027,Remzi,Cappello,1955-12-13,1986-05-07,9999-01-01,Assistant Engineer
11038,Jinya,Beidas,1955-10-13,1985-07-15,9999-01-01,Senior Staff
11042,Gou,Breugel,1955-07-13,1993-06-21,9999-01-01,Engineer
11056,Palash,Speel,1955-10-24,1997-07-01,9999-01-01,Staff
11084,Greger,Senzako,1955-07-03,1990-05-31,9999-01-01,Engineer
11089,Conal,Henders,1955-02-18,1994-08-13,9999-01-01,Senior Staff
11100,Berna,Cochrane,1955-10-14,1986-10-13,9999-01-01,Senior Staff
11106,Aris,Iwayama,1955-02-23,1985-08-31,9999-01-01,Senior Engineer
11133,Nalini,Azulay,1955-12-13,1994-03-06,9999-01-01,Technique Leader
11137,Hugh,Luca,1955-03-17,1995-03-16,9999-01-01,Engineer
11139,Bogdan,Homond,1955-10-13,1990-05-11,9999-01-01,Staff
11143,Yongdong,Rosen,1955-03-06,1996-05-09,9999-01-01,Engineer
11147,Ayonca,Nitsch,1955-09-26,1997-12-04,9999-01-01,Engineer
11197,Tadahiro,Fordan,1955-05-11,1989-09-12,9999-01-01,Senior Staff
11204,Diederik,Covnot,1955-12-15,1985-09-18,9999-01-01,Technique Leader
11207,Saeed,Gips,1955-08-14,1999-01-31,9999-01-01,Engineer
11213,Vugranam,Munoz,1955-10-19,1999-02-04,9999-01-01,Technique Leader
11232,Hidefumi,Crelier,1955-09-03,1994-08-02,9999-01-01,Senior Staff
